"date","Year","dead","missing","dead_and_missing","latitude, longitude","lat","lon"
2016-06-12,2016,1,0,1,"33.5784085, 11.9031222",33.5784085,11.9031222
2016-06-03,2016,10,329,339,"32.6853649, 25.9012421",32.6853649,25.9012421
2016-06-02,2016,133,0,133,"32.8708471, 12.0631696",32.8708471,12.0631696
2016-06-01,2016,2,0,2,"40.2712228, 22.4930176",40.2712228,22.4930176
2016-05-28,2016,1,0,1,"37.2912498, 13.2358149",37.2912498,13.2358149
2016-05-26,2016,0,9,9,"35.3626838, 15.9465353",35.3626838,15.9465353
2016-05-27,2016,45,215,260,"33.5259117, 8.0491191",33.5259117,8.0491191
2016-05-26,2016,4,0,4,"33.2286864, 12.033724",33.2286864,12.033724
2016-05-26,2016,0,47,47,"33.1328706, 12.2549685",33.1328706,12.2549685
2016-05-26,2016,0,500,500,"33.3572511, 11.3470785",33.3572511,11.3470785
2016-05-25,2016,5,250,255,"34.0593093, 12.3110937",34.0593093,12.3110937
2016-05-22,2016,0,10,10,"37.4798643, 2.4963183",37.4798643,2.4963183
2016-05-12,2016,1,0,1,"35.89473, -5.32132",35.89473,-5.32132
2016-04-29,2016,0,9,9,"35.9395293, 10.8791731",35.9395293,10.8791731
2016-04-29,2016,23,0,23,"37.2768876, 10.8044894",37.2768876,10.8044894
2016-04-29,2016,84,0,84,"32.90608, 12.443467",32.90608,12.443467
2016-04-15,2016,1,0,1,"37.75, 26.97",37.75,26.97
2016-04-15,2016,1,0,1,"38.63, 26.72",38.63,26.72
2016-04-13,2016,469,0,469,"32.97, 24.53",32.97,24.53
2016-04-18,2016,8,0,8,"35.45, 12.39",35.45,12.39
2016-04-13,2016,1,0,1,"37.882, 24.013",37.882,24.013
2016-04-11,2016,7,0,7,"32.8304, 11.616",32.8304,11.616
2016-04-13,2016,1,0,1,"38.086, 23.98",38.086,23.98
2016-04-09,2016,5,4,9,"37.75, 26.96",37.75,26.96
2016-04-03,2016,1,0,1,"37.845, 23.76",37.845,23.76
2016-04-01,2016,1,0,1,"37.68, 26.94",37.68,26.94
2016-03-31,2016,12,0,12,"31.61, 30.77",31.61,30.77
2016-03-30,2016,4,86,90,"32.81, 12.45",32.81,12.45
2016-03-28,2016,0,84,84,"39.027, 16.699",39.027,16.699
2016-03-28,2016,1,0,1,"36.05, 27.99",36.05,27.99
2016-03-25,2016,12,0,12,"32.88, 13.7",32.88,13.7
2016-03-21,2016,4,0,4,"35.5, 11.98",35.5,11.98
2016-03-20,2016,2,0,2,"36.09, 26.57",36.09,26.57
2016-03-20,2016,2,0,2,"36.9, 26.9",36.9,26.9
2016-03-19,2016,1,0,1,"37.46, 15.09",37.46,15.09
2016-03-19,2016,1,0,1,"36.64, 14.85",36.64,14.85
2016-03-19,2016,9,0,9,"32.8, 12.61",32.8,12.61
2016-03-18,2016,4,0,4,"32.81, 12.45",32.81,12.45
2016-03-14,2016,0,8,8,"36.8, 27.2",36.8,27.2
2016-03-16,2016,3,0,3,"37.5, 11.9",37.5,11.9
2016-03-13,2016,1,0,1,"35.28, -2.93",35.28,-2.93
2016-03-14,2016,3,0,3,"21.1, 22.5",21.1,22.5
2016-03-09,2016,1,0,1,"37.7, 27.01",37.7,27.01
2016-03-09,2016,1,0,1,"37.7, 26.9",37.7,26.9
2016-03-09,2016,5,2,7,"39.3, 26.4",39.3,26.4
2016-03-06,2016,25,0,25,"37.3, 27.2",37.3,27.2
2016-02-19,2016,2,0,2,"37.3, 13.4",37.3,13.4
2016-02-10,2016,1,0,1,"50.9, 1.8",50.9,1.8
2016-02-08,2016,27,11,38,"39.5, 26.9",39.5,26.9
2016-02-02,2016,9,0,9,"38.1, 26.8",38.1,26.8
2016-01-31,2016,3,0,3,"37.3, 27.2",37.3,27.2
2016-01-30,2016,6,64,70,"37.5, 11.9",37.5,11.9
2016-01-30,2016,39,0,39,"39.4, 26.1",39.4,26.1
2016-01-29,2016,1,0,1,"37.7, 26.8",37.7,26.8
2016-01-29,2016,1,0,1,"37.7, 26.8",37.7,26.8
2016-01-28,2016,6,0,6,"37, 16",37,16
2016-01-28,2016,26,11,37,"37.7, 26.8",37.7,26.8
2016-01-27,2016,7,3,10,"36.8, 27.2",36.8,27.2
2016-01-26,2016,5,0,5,"37.3, 27.2",37.3,27.2
2016-01-26,2016,1,0,1,"37.7, 26.8",37.7,26.8
2016-01-24,2016,2,0,2,"37.7, 26.8",37.7,26.8
